split,issue_time,window_hours,duration_hours,strategy,start_offset_hours,emissions_g_for_1kWh_job
test,2024-07-09 17:30:00+00:00,12,1,HistGradientBoosting,6.0,60.0
test,2024-07-09 17:30:00+00:00,12,1,RandomForest,6.5,59.0
test,2024-07-09 17:30:00+00:00,12,3,Immediate,0.0,141.83333333333334
test,2024-07-09 17:30:00+00:00,12,3,Oracle,8.0,59.0
test,2024-07-09 17:30:00+00:00,12,3,Persistence,0.0,141.83333333333334
test,2024-07-09 17:30:00+00:00,12,3,DailySeasonal,8.0,59.0
test,2024-07-09 17:30:00+00:00,12,3,WeeklySeasonal,5.5,60.0
test,2024-07-09 17:30:00+00:00,12,3,Climatology,7.0,59.5
test,2024-07-09 17:30:00+00:00,12,3,HistGradientBoosting,6.5,59.666666666666664
test,2024-07-09 17:30:00+00:00,12,3,RandomForest,5.0,60.5
test,2024-07-09 17:30:00+00:00,12,6,Immediate,0.0,107.58333333333333
test,2024-07-09 17:30:00+00:00,12,6,Oracle,5.0,59.75
test,2024-07-09 17:30:00+00:00,12,6,Persistence,0.0,107.58333333333333
test,2024-07-09 17:30:00+00:00,12,6,DailySeasonal,6.0,62.083333333333336
test,2024-07-09 17:30:00+00:00,12,6,WeeklySeasonal,4.0,60.75
test,2024-07-09 17:30:00+00:00,12,6,Climatology,5.0,59.75
test,2024-07-09 17:30:00+00:00,12,6,HistGradientBoosting,4.0,60.75
test,2024-07-09 17:30:00+00:00,12,6,RandomForest,4.0,60.75
test,2024-07-09 17:30:00+00:00,6,3,Immediate,0.0,141.83333333333334
